[2025-10-24T15:26:39.943+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-24T15:26:39.958+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: load_neo4j_from_gold.load_neo4j manual__2025-10-24T15:26:39.052485+00:00 [queued]>
[2025-10-24T15:26:39.962+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: load_neo4j_from_gold.load_neo4j manual__2025-10-24T15:26:39.052485+00:00 [queued]>
[2025-10-24T15:26:39.962+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-24T15:26:39.967+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): load_neo4j> on 2025-10-24 15:26:39.052485+00:00
[2025-10-24T15:26:39.971+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'load_neo4j_from_gold', 'load_neo4j', 'manual__2025-10-24T15:26:39.052485+00:00', '--job-id', '331', '--raw', '--subdir', 'DAGS_FOLDER/load_neo4j_from_gold.py', '--cfg-path', '/tmp/tmp9y29xc3_']
[2025-10-24T15:26:39.972+0000] {standard_task_runner.py:91} INFO - Job 331: Subtask load_neo4j
[2025-10-24T15:26:39.972+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=314) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-24T15:26:39.972+0000] {standard_task_runner.py:64} INFO - Started process 315 to run task
[2025-10-24T15:26:39.995+0000] {task_command.py:426} INFO - Running <TaskInstance: load_neo4j_from_gold.load_neo4j manual__2025-10-24T15:26:39.052485+00:00 [running]> on host 686d193542d0
[2025-10-24T15:26:40.035+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='load_neo4j_from_gold' AIRFLOW_CTX_TASK_ID='load_neo4j' AIRFLOW_CTX_EXECUTION_DATE='2025-10-24T15:26:39.052485+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-24T15:26:39.052485+00:00'
[2025-10-24T15:26:40.037+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-24T15:26:40.043+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-10-24T15:26:40.044+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'NEO4J_URI=bolt://kg_neo4j:7687 python /opt/***/scripts/load_neo4j_from_gold.py']
[2025-10-24T15:26:40.050+0000] {subprocess.py:86} INFO - Output:
[2025-10-24T15:27:32.393+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=20,000
[2025-10-24T15:27:32.409+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=40,000
[2025-10-24T15:27:32.410+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=60,000
[2025-10-24T15:27:32.410+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=80,000
[2025-10-24T15:27:32.410+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=100,000
[2025-10-24T15:27:32.411+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=120,000
[2025-10-24T15:27:32.411+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=140,000
[2025-10-24T15:27:32.411+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=160,000
[2025-10-24T15:27:32.411+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=180,000
[2025-10-24T15:27:32.412+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=200,000
[2025-10-24T15:27:32.412+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=220,000
[2025-10-24T15:27:32.413+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=240,000
[2025-10-24T15:27:32.413+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=260,000
[2025-10-24T15:27:32.413+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=280,000
[2025-10-24T15:27:32.413+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=300,000
[2025-10-24T15:27:32.413+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=320,000
[2025-10-24T15:27:32.414+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=340,000
[2025-10-24T15:27:32.414+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=360,000
[2025-10-24T15:27:32.414+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=380,000
[2025-10-24T15:27:32.414+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=400,000
[2025-10-24T15:27:32.414+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=420,000
[2025-10-24T15:27:32.414+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=440,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=460,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=480,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=500,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=520,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=540,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=560,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=580,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=600,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=620,000
[2025-10-24T15:27:32.415+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=640,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=660,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=680,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=700,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=720,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=740,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=760,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=780,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=800,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=820,000
[2025-10-24T15:27:32.416+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=840,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=860,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=880,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=900,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=920,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=940,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=960,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=980,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes batch OK (+20,000) total=1,000,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] nodes chargés : 1,000,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=20,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=40,000
[2025-10-24T15:27:32.417+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=60,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=80,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=100,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=120,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=140,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=160,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=180,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=200,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=220,000
[2025-10-24T15:27:32.418+0000] {subprocess.py:93} INFO - [neo4j] edges batch OK (+20,000) total=240,000
